2016-12-22 11:00:14 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=60&CP_Tire_Rim=20&CP_Tire_Width=215.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30000 milliseconds')
2016-12-23 10:48:13 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=105&CP_Tire_Rim=14&CP_Tire_Width=215.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-23 10:49:15 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=55Z&CP_Tire_Rim=21&CP_Tire_Width=215.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30000 milliseconds')
2016-12-23 10:50:01 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=55Z&CP_Tire_Rim=V&CP_Tire_Width=215.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30000 milliseconds')
2016-12-23 10:51:08 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=55&CP_Tire_Rim=12C&CP_Tire_Width=215.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-23 10:54:19 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=35&CP_Tire_Rim=13&CP_Tire_Width=215.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30000 milliseconds')
2016-12-23 11:02:01 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=45&CP_Tire_Rim=15&CP_Tire_Width=155.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30000 milliseconds')
2016-12-23 11:05:56 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=105&CP_Tire_Rim=11&CP_Tire_Width=155.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-23 11:13:00 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=25&CP_Tire_Rim=17&CP_Tire_Width=210.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-23 11:14:34 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=790&CP_Tire_Rim=V&CP_Tire_Width=210.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-23 11:15:46 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=11.5&CP_Tire_Rim=13&CP_Tire_Width=210.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-23 11:16:17 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=11.5&CP_Tire_Rim=13&CP_Tire_Width=210.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-23 11:17:52 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=40&CP_Tire_Rim=26&CP_Tire_Width=210.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30000 milliseconds')
2016-12-23 11:18:24 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=40&CP_Tire_Rim=12C&CP_Tire_Width=210.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30000 milliseconds')
2016-12-23 11:19:09 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=40&CP_Tire_Rim=14C&CP_Tire_Width=210.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30000 milliseconds')
2016-12-23 11:19:55 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=9.5&CP_Tire_Rim=13LT&CP_Tire_Width=210.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-23 11:20:26 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=9.5&CP_Tire_Rim=13LT&CP_Tire_Width=210.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-23 11:23:17 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=105&CP_Tire_Rim=23&CP_Tire_Width=210.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-23 11:24:00 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=105&CP_Tire_Rim=13&CP_Tire_Width=210.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30000 milliseconds')
2016-12-23 11:25:10 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=55Z&CP_Tire_Rim=19&CP_Tire_Width=210.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30000 milliseconds')
2016-12-23 11:30:24 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=80&CP_Tire_Rim=540&CP_Tire_Width=335.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30000 milliseconds')
2016-12-23 11:30:56 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=80&CP_Tire_Rim=16C&CP_Tire_Width=335.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30000 milliseconds')
2016-12-23 11:31:28 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=80&CP_Tire_Rim=16.5&CP_Tire_Width=335.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30000 milliseconds')
2016-12-23 11:36:03 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=9.5&CP_Tire_Rim=45&CP_Tire_Width=335.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-23 11:36:34 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=9.5&CP_Tire_Rim=45&CP_Tire_Width=335.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-23 11:47:32 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=11.5&CP_Tire_Rim=V&CP_Tire_Width=196.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-23 11:48:08 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=11.5&CP_Tire_Rim=15&CP_Tire_Width=196.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-23 11:48:54 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=45&CP_Tire_Rim=21&CP_Tire_Width=196.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-23 11:49:25 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=45&CP_Tire_Rim=21&CP_Tire_Width=196.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-23 11:50:10 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=45&CP_Tire_Rim=13&CP_Tire_Width=196.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30000 milliseconds')
2016-12-23 11:53:42 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=50Z&CP_Tire_Rim=14&CP_Tire_Width=196.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-23 11:55:29 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=105&CP_Tire_Rim=12&CP_Tire_Width=196.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30000 milliseconds')
2016-12-23 11:56:32 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=55Z&CP_Tire_Rim=V&CP_Tire_Width=196.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-23 11:57:03 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=55Z&CP_Tire_Rim=V&CP_Tire_Width=196.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-23 11:57:36 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=55Z&CP_Tire_Rim=13C&CP_Tire_Width=196.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-23 11:58:07 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=55Z&CP_Tire_Rim=13C&CP_Tire_Width=196.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30000 milliseconds')
2016-12-23 11:58:38 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=55Z&CP_Tire_Rim=13C&CP_Tire_Width=196.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30000 milliseconds')
2016-12-23 11:59:10 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=55Z&CP_Tire_Rim=13&CP_Tire_Width=196.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30000 milliseconds')
2016-12-23 11:59:48 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=55Z&CP_Tire_Rim=17&CP_Tire_Width=196.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30000 milliseconds')
2016-12-23 12:00:20 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=55Z&CP_Tire_Rim=16&CP_Tire_Width=196.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-23 12:00:54 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=55Z&CP_Tire_Rim=18&CP_Tire_Width=196.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30000 milliseconds')
2016-12-23 12:01:45 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=55&CP_Tire_Rim=28&CP_Tire_Width=196.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-23 12:02:23 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=55&CP_Tire_Rim=V&CP_Tire_Width=196.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30000 milliseconds')
